Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-62-8399-01A-21R-2326-07	0.0168472028233979	0	0.0812779544738214	0.0380886371230878	0	0.30483700823233	0.0419721984832067	0.0349565329484546	0.00124911822208882	0	0	0.0315170510309617	0.0779269568772805	0.00239555857208634	0.0315440365076526	0.102988912847791	0	0.0989294931186476	0.0811267461753959	0	0.0249621970373035	0.029380395526493	0.29	0.065527330634304	1.04869676560951
TCGA-MP-A4TI-01A-21R-A24X-07	0.0155863074714701	0	0	0.084990469481667	0	0.110312191180816	0.0552051846657964	0.0297434399028295	0.0775795079541318	0	0	0.0288641947917388	0.00625520033344908	0.213212831248456	0.123806059550153	0.197783136809119	0.0132956041225627	0.0213151488808887	0.0220507236069229	0	0	0	0	0.667217045125127	0.766484048680093
TCGA-55-8510-01A-11R-2403-07	0.00648299465670479	0.00979869070845353	0.0291155629042888	0.113462856413769	0	0.111129207543416	0.00368584979110193	0.0263865042213056	0.0638821887288426	0	0	0.026240170434851	0.0154158086277456	0.111403186964796	0.0962641113687424	0.231073864020103	0.0622877573894757	0	0.0825017860289583	0	0	0.0108694601974455	0	0.515019419639923	0.860904277429248
TCGA-55-8085-01A-11R-2241-07	0.0407654628426644	0	0.0700686051123794	0.176398496255236	0	0.0254543807257474	0.0567933771970249	0.0364369989537453	0.0995911041235884	0	0	0.0324860330750741	0.0334400764864276	0.176512284781981	0.0940710999985628	0.0912075957374964	0.0199142997896182	0.029487290503278	0.0123814241812923	0	0	0.00499147023588417	0	0.336955432990202	0.945192815262187
TCGA-55-7995-01A-11R-2187-07	0.0301043223947374	0	0.000379542870195247	0.150697256631401	0	0.098714306012478	0.0176485328677379	0.025109854330649	0.0638437162539635	0.0349669213852971	0	0.0111956231027998	0.00753639339660591	0.34513367049214	0.134496904978213	0.0618510708248285	0.000915909784463387	0	0.0174059746744903	0	0	0	0	0.649624833180323	0.768803484044581
TCGA-55-6987-01A-11R-1949-07	0.00131038521333498	0.0470414796977115	0.104197615795057	0.234764623835306	0	0.0469861157738051	0.0853969992679083	0.034291079838945	0.0180859551474221	0	0.042127912034357	0	0.00818055807800894	0.149149666557451	0.126744618480459	0.0631305036003304	0.00333834707297508	0	0.0284984911328175	0	0	0.00675564847411059	0	0.508369475011165	0.863083241224579
TCGA-78-7154-01A-11R-2039-07	0.0583034183195076	0	0.0205515688892688	0.0144580995901559	0	0.420206148624435	0	0.019165830371878	0.00226296872696037	0	0.0192554477095692	0.0162665150855754	0.0190911399490367	0.0134897327608974	0.123959209878711	0.142206755733988	0.0545738689989612	0.0145008341112879	0.0613780949168528	0	0	0.000330366332914468	0	0.284337147211599	0.972047405657376
TCGA-49-4494-01A-01R-1206-07	0.024423728206241	0	0.0253557785155136	0.0350330653589716	0	0.133327930850646	0.011245999924543	0.0600517443799906	0.0217914969912925	0.0327198991739978	0	0.0535395032421254	0.00268295114871877	0.133615715266037	0.0837792578006587	0.192160589467694	0.0969993927715864	0.0214769030845615	0.0717960438174225	0	0	0	0	0.440711882935689	0.896889615688053
TCGA-05-4430-01A-02R-1206-07	0.0173065471042409	0	0.0319165331157794	0.0583606883345909	0	0.071748242313566	0.0241527801689694	0.0297034333589183	0.0291754965290552	0.00173661593102097	0	0.0137087577316507	0	0.217770838201729	0.0696897142137636	0.177097132047868	0.119707744967437	0.0388894335228862	0.0858061337907779	0	0	0.0132299086677466	0	0.567901032589951	0.830656743683277
TCGA-49-AAR3-01A-11R-A41B-07	0.0245705622152937	0	0.0677787830891194	0.187802718647441	0	0.02644468141103	0.0881222380476199	0.0325104378783475	0.0377060662000472	0	0	0.030296591137409	0	0.196943057878118	0.0848934891568013	0.167821222276064	0.0155028678069318	0	0.0362526014757338	0	0.00335468278004363	0	0	0.412622053092466	0.910374735431555
TCGA-38-7271-01A-11R-2039-07	0	0.15732356198361	0.0614454030346393	0.130296351132179	0	0.157014541256532	0.00107826465600603	0	0.0798997020691238	0.0545528809939576	0	0.0152021132264948	0	0.123164193906768	0.0239307286119733	0.114693711548584	0.0238143376076787	0.0131424914448235	0.0421380061578085	0	0	0.00230371236982252	0	0.370912426150452	0.928857507607213
